# Vertices: 3125
# Arestas: 3124
0,108
1,980
2,2416
3,380
4,391
5,2018
6,177
7,1653
8,1069
9,1529
10,1807
11,1766
12,2220
13,1622
14,957
15,2115
16,329
17,541
18,2275
19,836
20,1092
21,2711
22,684
23,1526
24,1270
25,213
26,1142
27,2357
28,3040
29,1728
30,2080
31,665
32,2738
33,2855
34,464
36,4
37,1011
38,976
39,2040
40,602
41,402
42,1141
43,1719
44,2282
45,1694
46,2658
47,615
48,903
49,1588
50,251
51,1791
52,1166
53,743
54,933
55,308
56,2941
57,2885
58,1117
59,1752
60,1228
61,3044
62,319
63,2450
64,1936
65,1165
66,135
67,2637
68,2508
69,1424
70,1918
71,1722
72,816
73,461
74,2593
75,735
76,1439
77,1983
78,1046
79,2835
80,2166
81,1628
82,2916
83,2506
84,752
85,1850
86,1557
87,1103
88,634
89,1912
90,3004
91,1855
92,494
93,1133
94,2507
95,2615
96,547
97,2091
98,1821
99,1030
100,2807
101,2790
102,473
103,475
104,1868
105,182
106,3123
107,1330
108,3077
109,1902
110,1510
111,91
112,25
113,1321
114,1285
115,693
116,1412
117,492
118,412
119,126
120,2237
121,1682
122,234
123,2427
124,675
125,2530
126,3005
127,1739
128,2653
129,1584
130,83
131,11
132,2443
133,2847
134,1656
135,1320
136,1122
137,2988
138,1116
139,2412
140,2364
141,1436
142,2090
143,2173
144,677
145,802
146,2433
147,3048
148,1491
149,1538
150,1462
151,1920
152,1968
153,2576
154,2856
155,2032
156,2160
157,347
158,1450
159,714
160,1174
161,636
162,2639
163,719
164,2989
165,277
166,2205
167,1937
168,1085
169,2212
170,2870
171,852
172,1329
173,123
174,1348
175,2330
176,2636
177,1334
178,3095
179,1284
180,2848
181,481
182,1149
183,1711
184,2406
185,1344
186,1299
187,1346
188,2418
189,2575
190,1551
191,348
192,938
193,2112
194,2195
195,1033
196,557
197,2086
198,1465
199,2504
200,1582
201,97
202,486
203,3022
204,2675
205,1097
206,1897
207,1242
208,1083
209,2274
210,2884
211,117
212,2594
213,2099
214,1111
215,624
216,2106
217,798
218,1919
219,1494
220,656
221,2067
222,2122
223,1308
224,2813
225,2539
226,1110
227,832
228,1419
229,2540
230,2362
231,441
232,1899
233,78
234,2774
235,2169
236,463
237,2918
238,1492
239,2033
240,689
241,1540
242,1614
243,1442
244,1978
245,1732
246,2428
247,2449
248,389
249,697
250,2906
251,1602
252,1928
253,2662
254,1842
255,576
256,2671
257,1864
258,1498
259,1214
260,2343
261,1472
262,1162
263,2133
264,74
265,2261
266,1513
267,2292
268,2405
269,252
270,2323
271,317
272,839
273,1754
274,583
275,864
276,2060
277,2677
278,1361
279,151
280,2929
281,795
282,1677
283,2377
284,2607
285,783
286,560
287,1471
288,2968
289,829
290,641
291,1447
292,307
293,567
294,1633
295,1000
296,2553
297,419
298,2193
299,432
300,345
301,900
302,3083
303,1595
304,2286
305,2331
306,1398
307,616
308,881
309,941
310,1405
311,3010
312,969
313,2628
314,1276
315,713
316,248
317,914
318,1413
319,436
320,896
321,2565
322,327
323,2479
324,3088
325,1222
326,1247
327,3100
328,221
329,1861
330,2464
331,1563
332,529
333,2762
334,1119
335,1804
336,1950
337,2184
338,116
339,188
340,1383
341,997
342,299
343,2823
344,2019
345,2157
346,1664
347,2203
348,734
349,1055
350,1687
351,395
352,406
353,530
354,16
355,2726
356,2659
357,2956
358,2755
359,444
360,774
361,418
362,2321
363,201
364,2327
365,1257
366,1537
367,2875
368,2818
369,853
370,2047
371,965
372,1489
373,2792
374,676
375,256
376,668
377,1515
378,1994
379,3034
380,2462
381,2608
382,1396
383,543
384,3035
385,625
386,769
387,1144
388,235
389,856
