# Vertices: 25
# Arestas: 93
0,6,8
0,13,1
0,22,8
1,16,2
1,8,8
1,11,10
1,23,5
2,19,1
2,9,3
2,14,6
2,18,9
3,2,1
3,8,7
3,0,6
4,8,4
4,12,2
4,16,2
5,17,3
5,9,9
6,9,6
6,20,1
6,19,1
6,17,2
7,14,4
7,1,4
7,2,5
7,11,7
7,4,4
8,21,2
8,20,3
8,18,2
9,22,9
9,8,3
10,7,10
10,22,4
10,5,1
11,3,4
11,5,9
11,15,7
11,21,8
11,6,7
12,15,4
12,1,8
12,2,10
12,24,8
12,23,1
13,1,7
13,8,6
13,5,5
13,19,6
13,12,2
14,11,1
14,22,6
14,10,8
14,1,2
14,4,2
15,5,10
15,3,7
15,1,10
15,10,8
16,18,8
16,7,3
16,5,3
16,11,2
17,13,4
17,12,10
17,24,4
17,1,8
17,7,7
17,2,5
18,3,4
18,23,6
18,12,7
18,15,7
18,14,9
18,24,9
19,0,8
19,9,6
19,7,2
20,12,7
20,15,8
20,24,2
21,24,5
21,2,6
22,23,8
22,7,5
23,4,6
23,19,3
23,3,9
23,16,2
24,10,10
24,16,6
24,14,5
